Entity,Code,Day,vaccine_eligibility_age
Afghanistan,AFG,2021-04-16,16
Afghanistan,AFG,2021-04-17,16
Afghanistan,AFG,2021-04-18,16
Afghanistan,AFG,2021-04-19,16
Afghanistan,AFG,2021-04-20,16
Afghanistan,AFG,2021-04-21,16
Afghanistan,AFG,2021-04-22,16
Afghanistan,AFG,2021-04-23,16
Afghanistan,AFG,2021-04-24,16
Afghanistan,AFG,2021-04-25,16
Afghanistan,AFG,2021-04-26,16
Afghanistan,AFG,2021-04-27,16
Afghanistan,AFG,2021-04-28,16
Afghanistan,AFG,2021-04-29,16
Afghanistan,AFG,2021-04-30,16
Afghanistan,AFG,2021-05-01,16
Afghanistan,AFG,2021-05-02,16
Afghanistan,AFG,2021-05-03,16
Afghanistan,AFG,2021-05-04,16
Afghanistan,AFG,2021-05-05,16
Afghanistan,AFG,2021-05-06,16
Afghanistan,AFG,2021-05-07,16
Afghanistan,AFG,2021-05-08,16
Afghanistan,AFG,2021-05-09,16
Afghanistan,AFG,2021-05-10,16
Afghanistan,AFG,2021-05-11,16
Afghanistan,AFG,2021-05-12,16
Afghanistan,AFG,2021-05-13,16
Afghanistan,AFG,2021-05-14,16
Afghanistan,AFG,2021-05-15,16
Afghanistan,AFG,2021-05-16,16
Afghanistan,AFG,2021-05-17,16
Afghanistan,AFG,2021-05-18,16
Afghanistan,AFG,2021-05-19,16
Afghanistan,AFG,2021-05-20,16
Afghanistan,AFG,2021-05-21,16
Afghanistan,AFG,2021-05-22,16
Afghanistan,AFG,2021-05-23,16
Afghanistan,AFG,2021-05-24,16
Afghanistan,AFG,2021-05-25,16
Afghanistan,AFG,2021-05-26,16
Afghanistan,AFG,2021-05-27,16
Afghanistan,AFG,2021-05-28,16
Afghanistan,AFG,2021-05-29,16
Afghanistan,AFG,2021-05-30,16
Afghanistan,AFG,2021-05-31,16
Afghanistan,AFG,2021-06-01,16
Afghanistan,AFG,2021-06-02,16
Afghanistan,AFG,2021-06-03,16
Afghanistan,AFG,2021-06-04,16
Afghanistan,AFG,2021-06-05,16
Afghanistan,AFG,2021-06-06,16
Afghanistan,AFG,2021-06-07,16
Afghanistan,AFG,2021-06-08,16
Afghanistan,AFG,2021-06-09,16
Afghanistan,AFG,2021-06-10,16
Afghanistan,AFG,2021-06-11,16
Afghanistan,AFG,2021-06-12,16
Afghanistan,AFG,2021-06-13,16
Afghanistan,AFG,2021-06-14,16
Afghanistan,AFG,2021-06-15,16
Afghanistan,AFG,2021-06-16,16
Afghanistan,AFG,2021-06-17,16
Afghanistan,AFG,2021-06-18,16
Afghanistan,AFG,2021-06-19,16
Afghanistan,AFG,2021-06-20,16
Afghanistan,AFG,2021-06-21,16
Afghanistan,AFG,2021-06-22,16
Afghanistan,AFG,2021-06-23,16
Afghanistan,AFG,2021-06-24,16
Afghanistan,AFG,2021-06-25,16
